bgc_name	gene_id	old_locus_tag	gene_name	role	mibig_annotation
cda	SC_RS18240	SCO3225	absA1	regulator	Two-component kinase
cda	SC_RS18245	SCO3226	absA2	regulator	Response regulator
cda	SC_RS18250	SCO3227	cdaZ	biosynthesis	Phosphatase
cda	SC_RS18255	SCO3228	cdaPT	biosynthesis	Phosphotransferase
cda	SC_RS18260	SCO3229	hppD	biosynthesis	4-hydroxyphenylpyruvate dioxygenase
cda	SC_RS18265	SCO3230	cdaE	biosynthesis	2,3-dihydroxybenzoate-AMP ligase
cda	SC_RS18270	SCO3231	cdaF	biosynthesis	Isochorismatase
cda	SC_RS18275	SCO3232	cdaG	biosynthesis	2,3-dihydro-2,3-DHBA dehydrogenase
cda	SC_RS18280	SCO3233	cdaH	biosynthesis	Isochorismate synthase
cda	SC_RS18285	SCO3234	hasP	biosynthesis	Phosphopantetheinyl transferase
cda	SC_RS18290	SCO3235	cdaI	biosynthesis	Adenylation domain
cda	SC_RS18295	SCO3236	asnO	biosynthesis	Asparagine oxygenase
cda	SC_RS18300	SCO3237	cdaJ	biosynthesis	MbtH-like protein
cda	SC_RS18305	SCO3238	eboE	biosynthesis	Epoxidase
cda	SC_RS18310	SCO3239	cdaK	biosynthesis	ABC transporter
cda	SC_RS18315	SCO3240	cdaL	biosynthesis	ABC transporter
cda	SC_RS18320	SCO3241	cdaM	biosynthesis	Membrane protein
cda	SC_RS18325	SCO3242	cdaN	biosynthesis	Thioesterase
cda	SC_RS18330	SCO3243	cdaO	biosynthesis	Acyl-CoA ligase
cda	SC_RS18335	SCO3244	cdaP	biosynthesis	Acyl carrier protein
cda	SC_RS18340	SCO3245	cdaQ	biosynthesis	3-oxoacyl-ACP synthase
cda	SC_RS18345	SCO3246	cdaS	biosynthesis	Dehydratase
cda	SC_RS18350	SCO3247	cdaU	biosynthesis	Enoyl-CoA hydratase
cda	SC_RS18355	SCO3248	cdaV	biosynthesis	Acyltransferase
cda	SC_RS18360	SCO3249	cdaW	biosynthesis	Unknown
cpk	SC_RS33615	SCO6273	cpkA	biosynthesis	Type I PKS
cpk	SC_RS33620	SCO6274	cpkB	biosynthesis	Type I PKS
cpk	SC_RS33625	SCO6275	cpkC	biosynthesis	Type I PKS
cpk	SC_RS33630	SCO6276	cpkD	biosynthesis	Acyltransferase
cpk	SC_RS33635	SCO6277	cpkE	biosynthesis	Butenolide synthase
cpk	SC_RS33640	SCO6278	cpkF	biosynthesis	Cytochrome P450
cpk	SC_RS33645	SCO6279	cpkG	biosynthesis	Flavin reductase
cpk	SC_RS33650	SCO6280	cpkH	biosynthesis	Thioesterase
cpk	SC_RS33655	SCO6281	cpkI	biosynthesis	Dehydrogenase
cpk	SC_RS33660	SCO6282	cpkO	regulator	LAL family regulator
cpk	SC_RS33665	SCO6283	cpkJ	biosynthesis	Acyl-CoA ligase
cpk	SC_RS33670	SCO6284	cpkK	biosynthesis	Acyl carrier protein
cpk	SC_RS33675	SCO6285	cpkL	biosynthesis	Beta-ketoacyl synthase
cpk	SC_RS33680	SCO6286	scbR2	regulator	TetR-family repressor
cpk	SC_RS33685	SCO6287	cpkM	biosynthesis	Oxidoreductase
cpk	SC_RS33690	SCO6288	cpkN	biosynthesis	NRPS adenylation
